last_location,average_delay,occ
"NSK HUB, Nashik, MAHARASHTRA",6.0000,0
"Tanda, TANDA, UTTAR PRADESH",6.0000,0
"JODHPUR, Jodhpur, RAJASTHAN",6.0000,0
"Raipur Rani, AMBALA, HARYANA",6.0000,0
"SAHIBABAD, UTTAR PRADESH, IN",6.0000,0
"Tezpur, Tezpur, ASSAM",6.0000,0
"RPR/BHT, Raipur, CHHATTISGARH",6.0000,0
"Ratlam, Ratlam, MADHYA PRADESH",6.0000,0
"SELAQUI, Dehradun, UTTARAKHAND",6.0000,0
"Titwala1, Titwala, MAHARASHTRA",6.0000,0
"Shivapura, shivapura, KARNATAKA",6.0000,0
"Nandyal, Nandyal, ANDHRA PRADESH",6.0000,0
"JMU/UNJ, Jammu, JAMMU AND KASHMIR",6.0000,0
"NBM/KHA, Navi Mumbai, MAHARASHTRA",6.0000,0
"NBM/NRL, Navi Mumbai, MAHARASHTRA",6.0000,0
"Sathupally, Sathupally, TELANGANA",6.0000,0
"KNL/HUB, KURNOOL, ANDHRA PRADESH",6.0000,0
"RSC/Ujjain, Ujjain, MADHYA PRADESH",6.0000,0
"THALAYOLAPARAMBU, Kottayam, KERALA",6.0000,0
"Sultanpur, Sultanpur, UTTAR PRADESH",6.0000,0
"VIJ/VIJ, Vijayawada, ANDHRA PRADESH",6.0000,0
"Pithampur, Pithampur, MADHYA PRADESH",6.0000,0
"TPT/HUB, Tirupati, ANDHRA PRADESH",6.0000,0
"RSC/DHARMAPURI, Mancherial, TELANGANA",6.0000,0
"Udhampur, Udhampur, JAMMU AND KASHMIR",6.0000,0
"Shahjahanpur, Shahijahanpur, UTTAR PRADESH",6.0000,0
"Shri Dungargarh, Shri Dungargarh, RAJASTHAN",6.0000,0
"THIRUMANGALAM, Thiruparankundram, TAMIL NADU",6.0000,0
"Sunder Nagar HP, Sunder Nagar, HIMACHAL PRADESH",6.0000,0
JAIH,5.8000,0
"SAHRANPUR OFFICE",5.8000,0
"NASHIK, MAHARASHTRA, IN",5.7500,0
"LUDHIANA RSP HUB",5.6667,0
